"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rrn3",0.000438147421207168,0.143168384259882,0.285,0.182,1,"EPO_responsive","Rrn3"
"Uqcr10",0.000440070893250539,0.123529707180017,0.921,0.889,1,"EPO_responsive","Uqcr10"
"Rbm3",0.0004428402580239,0.138989338053809,0.956,0.945,1,"EPO_responsive","Rbm3"
"Calm1",0.000448010737435044,0.14998348241385,0.902,0.883,1,"EPO_responsive","Calm1"
"Ppil1",0.000456887510910242,0.151566125200791,0.535,0.424,1,"EPO_responsive","Ppil1"
"Cks1brt",0.000471658976283265,0.140897942372163,0.19,0.13,1,"EPO_responsive","Cks1brt"
"Timm9",0.000479131455271525,0.16147937714977,0.421,0.326,1,"EPO_responsive","Timm9"
"H2afj",0.000508189023259883,0.107168836664274,0.921,0.865,1,"EPO_responsive","H2afj"
"Exosc2",0.000539252236575455,0.159724989912077,0.424,0.324,1,"EPO_responsive","Exosc2"
"Gins2",0.000549172298071545,0.173494444476776,0.377,0.284,1,"EPO_responsive","Gins2"
"Itgb3bp",0.000561588551425926,0.162726774874196,0.377,0.284,1,"EPO_responsive","Itgb3bp"
"Mrpl18",0.000580036829708481,0.155406079022176,0.791,0.717,1,"EPO_responsive","Mrpl18"
"Ciapin1",0.000583239069046364,0.161917655082991,0.316,0.233,1,"EPO_responsive","Ciapin1"
"Nasp",0.000585122849655003,0.153939612015812,0.405,0.312,1,"EPO_responsive","Nasp"
"Hspd1",0.000592189506893319,0.133046026751479,0.797,0.712,1,"EPO_responsive","Hspd1"
"Pde12",0.000608965479175906,0.154111797248853,0.241,0.16,1,"EPO_responsive","Pde12"
"Atox1",0.000614367830660589,0.1325537244018,0.87,0.835,1,"EPO_responsive","Atox1"
"Pim1",0.000621097003518654,0.161272015652133,0.345,0.242,1,"EPO_responsive","Pim1"
"Fbxo5",0.00063090329932526,0.162031275698721,0.301,0.212,1,"EPO_responsive","Fbxo5"
"Aurkb",0.000642631575126009,0.153181675379579,0.288,0.198,1,"EPO_responsive","Aurkb"
"Mrpl50",0.000657138024778272,0.1722186750182,0.43,0.342,1,"EPO_responsive","Mrpl50"
"Sf3b5",0.000666736301512435,0.134676000403445,0.845,0.785,1,"EPO_responsive","Sf3b5"
"Tma7",0.000680337408951334,0.119268294553796,0.962,0.945,1,"EPO_responsive","Tma7"
"Atad2",0.000692382835484816,0.17396642030467,0.43,0.34,1,"EPO_responsive","Atad2"
"Gar1",0.000733513048049398,0.16354969404018,0.699,0.614,1,"EPO_responsive","Gar1"
"Snrpb",0.000735031116121916,0.0845663663305101,0.972,0.934,1,"EPO_responsive","Snrpb"
"Rfc5",0.000737215450719328,0.166149764091357,0.468,0.377,1,"EPO_responsive","Rfc5"
"Pebp1",0.000757296102356507,0.0986318215537008,0.956,0.919,1,"EPO_responsive","Pebp1"
"Uchl5",0.00076109988103659,0.183635958311936,0.585,0.519,1,"EPO_responsive","Uchl5"
"Pmf1",0.000799777965625136,0.177474598843339,0.437,0.358,1,"EPO_responsive","Pmf1"
"Fam111a",0.000810088811329372,0.172746167509175,0.582,0.487,1,"EPO_responsive","Fam111a"
"Tssc4",0.00083058638380436,0.161063660289886,0.402,0.312,1,"EPO_responsive","Tssc4"
"Nedd8",0.000866929242031818,0.103476829158778,0.924,0.864,1,"EPO_responsive","Nedd8"
"Cdca2",0.000893744772621775,0.127261923315679,0.228,0.155,1,"EPO_responsive","Cdca2"
"Snrnp40",0.000906642029811242,0.15922584317892,0.566,0.48,1,"EPO_responsive","Snrnp40"
"Zdhhc4",0.000914557257277341,0.168971785568609,0.266,0.194,1,"EPO_responsive","Zdhhc4"
"Ppa1",0.000927816870987883,0.145669946710046,0.665,0.563,1,"EPO_responsive","Ppa1"
"Gltp",0.000932165683192399,0.125106032154809,0.785,0.701,1,"EPO_responsive","Gltp"
"Ctps",0.000936821614186385,0.141335018254673,0.259,0.183,1,"EPO_responsive","Ctps"
"Chchd2",0.000958423493814832,0.111518455353778,0.981,0.976,1,"EPO_responsive","Chchd2"
"Sdf2l1",0.000968631515127875,0.216608375669929,0.503,0.433,1,"EPO_responsive","Sdf2l1"
"Orc6",0.000971427676852874,0.183333350496141,0.418,0.338,1,"EPO_responsive","Orc6"
"Capzb",0.000977918170743112,0.112450263419869,0.835,0.753,1,"EPO_responsive","Capzb"
"Snrnp25",0.000981115383181967,0.154919929557432,0.494,0.406,1,"EPO_responsive","Snrnp25"
"Cinp",0.000981669607294044,0.153875845877113,0.32,0.241,1,"EPO_responsive","Cinp"
"Zfand4",0.000997663054267924,0.124561283832257,0.149,0.092,1,"EPO_responsive","Zfand4"
"Cdc20",0.00100123437630022,0.152910501794449,0.269,0.186,1,"EPO_responsive","Cdc20"
"Pdcd4",0.00101686616609387,0.180164287580962,0.81,0.738,1,"EPO_responsive","Pdcd4"
"Psat1",0.00103827200585865,0.173919672668014,0.462,0.373,1,"EPO_responsive","Psat1"
