"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd93",0.0095305881707048,0.0572402141720649,0.342,0.29,1,"Control","Cd93"
"Fuca2",0.00953822001302702,0.0540308151393447,0.229,0.184,1,"Control","Fuca2"
"Api5",0.00954114335620861,0.0666433431059985,0.395,0.349,1,"Control","Api5"
"Arsk",0.0095552753749286,0.0500973963203244,0.11,0.079,1,"Control","Arsk"
"Ikzf5",0.00957429707087194,0.0712896036623376,0.21,0.174,1,"Control","Ikzf5"
"Pgm2l1",0.0095818203016004,0.0529080391102364,0.165,0.133,1,"Control","Pgm2l1"
"Sart1",0.00962746355311159,0.0514498863274426,0.294,0.243,1,"Control","Sart1"
"Vamp2",0.00968320640478752,0.0521272127365446,0.186,0.145,1,"Control","Vamp2"
"Shisa5",0.00971972075303401,0.0654601027727943,0.625,0.587,1,"Control","Shisa5"
"Fes",0.00972135377125594,0.0528694764646132,0.175,0.138,1,"Control","Fes"
"Man2a2",0.00973958361040948,0.0619769274318402,0.249,0.206,1,"Control","Man2a2"
"Gabarapl1",0.00979222219105963,0.0516335616926089,0.681,0.628,1,"Control","Gabarapl1"
"Icam1",0.00980239518471285,0.0623303912676103,0.141,0.112,1,"Control","Icam1"
"Lrmp",0.00980263198193627,0.0601935955628978,0.397,0.344,1,"Control","Lrmp"
"Rab1a",0.00987732717176655,0.0554988050469775,0.455,0.4,1,"Control","Rab1a"
"Trp53bp1",0.0100109153992841,0.0639336765504495,0.132,0.106,1,"Control","Trp53bp1"
"Lonrf1",0.0100315507173321,0.0509363579838434,0.152,0.118,1,"Control","Lonrf1"
"Zfp740",0.0100697394810706,0.0544457406360552,0.145,0.113,1,"Control","Zfp740"
"Nfe2",0.0100865120770324,0.0535824456186202,0.533,0.481,1,"Control","Nfe2"
"Usp3",0.0101091698445586,0.0540762296730988,0.232,0.188,1,"Control","Usp3"
"Smarca5",0.0101913553162986,0.0551578108386537,0.655,0.615,1,"Control","Smarca5"
"Dnajc14",0.0102002257763193,0.0576955291791433,0.216,0.179,1,"Control","Dnajc14"
"Dlst",0.0102164242579982,0.0515424727590238,0.206,0.167,1,"Control","Dlst"
"Rnf114",0.0102541928073088,0.0500456110100688,0.332,0.282,1,"Control","Rnf114"
"Eif2d",0.0102883918028586,0.062963660558579,0.281,0.242,1,"Control","Eif2d"
"Ppp1r12c",0.0103057078277727,0.0540785746061421,0.174,0.134,1,"Control","Ppp1r12c"
"Smarca4",0.0103364418566558,0.0686071911090094,0.384,0.342,1,"Control","Smarca4"
"Ago2",0.0103501080818005,0.0854479626775722,0.363,0.331,1,"Control","Ago2"
"Pdia3",0.0103589033204918,0.0526757865914647,0.724,0.687,1,"Control","Pdia3"
"Maged2",0.0104954230602986,0.063151946036513,0.151,0.118,1,"Control","Maged2"
