"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tsc22d4",1.38500694787012e-06,0.0900064447509654,0.781,0.705,0.0151048857734716,"Control","Tsc22d4"
"Tmem127",1.38851711001431e-06,0.0962751257158861,0.11,0.062,0.0151431676018161,"Control","Tmem127"
"Ccdc137",1.51837630584483e-06,0.108697922367241,0.184,0.121,0.0165594119915437,"Control","Ccdc137"
"Adgrg1",1.51920746541514e-06,0.103136336859362,0.911,0.871,0.0165684766178175,"Control","Adgrg1"
"Gpi1",1.56447900969931e-06,0.107963991105206,0.839,0.791,0.0170622080797806,"Control","Gpi1"
"Ddit4",1.57866910339268e-06,0.134552986221881,0.299,0.227,0.0172169652416005,"Control","Ddit4"
"Gtpbp2",1.67038979966529e-06,0.135299317237315,0.439,0.363,0.0182172711551497,"Control","Gtpbp2"
"Malat1",1.79347925030762e-06,0.0591806409723876,1,1,0.0195596847038549,"Control","Malat1"
"Pura",1.82560903659981e-06,0.135259877812794,0.584,0.507,0.0199100921531576,"Control","Pura"
"Acox1",2.01409009998004e-06,0.112483041715989,0.23,0.158,0.0219656666303824,"Control","Acox1"
"Prkcd",2.03668828469247e-06,0.114254028257901,0.292,0.215,0.0222121224328561,"Control","Prkcd"
"Arrdc4",2.06889257879971e-06,0.0967942260831721,0.121,0.069,0.0225633424643897,"Control","Arrdc4"
"PISD",2.2710499636568e-06,0.11952067130157,0.72,0.654,0.024768070903641,"Control","PISD"
"Pitpna",2.35382496098666e-06,0.113998341146725,0.528,0.437,0.0256708150245205,"Control","Pitpna"
"Rgs2",2.46242339919428e-06,0.118758055833272,0.553,0.448,0.0268551895916128,"Control","Rgs2"
"Cdk2ap1",2.58599691204909e-06,0.103938481046579,0.449,0.362,0.0282028823228074,"Control","Cdk2ap1"
"Kmt2e",2.89381148519724e-06,0.111812565218446,0.586,0.501,0.031559908057561,"Control","Kmt2e"
"Spen",2.90149402687789e-06,0.124506056218741,0.243,0.173,0.0316436938571303,"Control","Spen"
"H1fx",2.92455984721867e-06,0.128925719539406,0.326,0.257,0.0318952496937668,"Control","H1fx"
"Ubr2",3.00163662585771e-06,0.121649550316585,0.312,0.234,0.0327358490416041,"Control","Ubr2"
"Atxn2l",3.07303910112597e-06,0.127805872641013,0.385,0.311,0.0335145644368798,"Control","Atxn2l"
"Tap1",3.07885728064113e-06,0.114389096303687,0.352,0.268,0.0335780175026722,"Control","Tap1"
"Peak1",3.08094655429698e-06,0.112519314285315,0.162,0.107,0.0336008031211628,"Control","Peak1"
"Irf2",3.10443644254093e-06,0.128207731346319,0.523,0.443,0.0338569838423514,"Control","Irf2"
"Nbr1",3.28320615353806e-06,0.0975393242658119,0.185,0.121,0.0358066463104861,"Control","Nbr1"
"Dtx3",3.47545567612796e-06,0.101733008769592,0.351,0.263,0.0379033196038515,"Control","Dtx3"
"Araf",3.62895791739694e-06,0.094576524630247,0.304,0.214,0.039577415047131,"Control","Araf"
"Brd2",3.66387744245169e-06,0.112130058440669,0.512,0.432,0.0399582473873781,"Control","Brd2"
"Cd151",3.71780137803546e-06,0.112190485550343,0.256,0.182,0.0405463418288547,"Control","Cd151"
"Ppp6r1",3.80622283851752e-06,0.122697692000049,0.237,0.175,0.041510666276872,"Control","Ppp6r1"
"Irf2bp1",4.45385044617872e-06,0.116275724607502,0.274,0.209,0.0485736929660252,"Control","Irf2bp1"
"Ist1",4.46803577760353e-06,0.108368417224695,0.281,0.205,0.0487283981905441,"Control","Ist1"
"Prkar1a",4.67468763051219e-06,0.100839874554176,0.676,0.597,0.0509821432983659,"Control","Prkar1a"
"Epm2aip1",4.69078600358644e-06,0.0962422369866184,0.132,0.08,0.0511577121551137,"Control","Epm2aip1"
"Atp1a1",5.02097644609207e-06,0.103016234537643,0.58,0.494,0.0547587691210801,"Control","Atp1a1"
"Pink1",5.21626890473079e-06,0.125669433809059,0.393,0.312,0.056888628674994,"Control","Pink1"
"Mpl",5.68384593234344e-06,0.128702662541945,0.582,0.509,0.0619880237381376,"Control","Mpl"
"Rrp1",5.79363569563974e-06,0.110631130250301,0.621,0.546,0.063185390896647,"Control","Rrp1"
"Vps8",6.09473003893891e-06,0.305834715234452,0.148,0.121,0.0664691258046678,"Control","Vps8"
"Phf23",6.46608296143374e-06,0.104265011810145,0.289,0.218,0.0705191007773963,"Control","Phf23"
"Cables2",6.83959682849796e-06,0.094115993208465,0.162,0.106,0.0745926430115988,"Control","Cables2"
"Eef1a1",6.86614063527464e-06,0.0577281784867854,1,1,0.0748821297683052,"Control","Eef1a1"
"Pdzk1ip1",6.99516166546694e-06,0.112936785384922,0.683,0.61,0.0762892331235825,"Control","Pdzk1ip1"
"Psap",7.19430166317493e-06,0.0953274776890266,0.579,0.5,0.0784610539385858,"Control","Psap"
"Trim25",7.22160948030108e-06,0.118878274904173,0.623,0.555,0.0787588729921636,"Control","Trim25"
"Tmem243",7.41046290178067e-06,0.115555603214219,0.238,0.172,0.08081850840682,"Control","Tmem243"
"Ogfrl1",7.52703693946671e-06,0.109695041337089,0.684,0.616,0.0820898648618239,"Control","Ogfrl1"
"Rfwd2",7.8987331338598e-06,0.111246924186288,0.237,0.176,0.086143583557875,"Control","Rfwd2"
"Eif4h",8.02092736213782e-06,0.094768452413027,0.756,0.689,0.087476233811475,"Control","Eif4h"
"Chad",8.14936384256121e-06,0.104286069013112,0.195,0.129,0.0888769620669726,"Control","Chad"
"Treml2",8.2186324077364e-06,0.124575669023046,0.399,0.324,0.0896324050387731,"Control","Treml2"
"Mfsd4",8.40550236890217e-06,0.0932564947174057,0.118,0.068,0.0916704088352471,"Control","Mfsd4"
"Grn",9.72113671262441e-06,0.111130788268548,0.364,0.291,0.106018716987882,"Control","Grn"
"H2-K1",9.92501735088434e-06,0.0974304626782145,0.975,0.976,0.108242239228745,"Control","H2-K1"
"Zyx",9.97370721752369e-06,0.14016977434022,0.542,0.477,0.108773250914313,"Control","Zyx"
"Tspan32",9.99840037453977e-06,0.101964813304564,0.745,0.681,0.109042554484731,"Control","Tspan32"
"Tsc22d2",1.03674211648187e-05,0.116294160257722,0.233,0.174,0.113067095223513,"Control","Tsc22d2"
"St3gal2",1.03916966874083e-05,0.0908178797364474,0.149,0.092,0.113331844072875,"Control","St3gal2"
"Ppp1r12a",1.07329159322245e-05,0.116562522673645,0.371,0.296,0.11705318115684,"Control","Ppp1r12a"
"Kmt2a",1.17821280359717e-05,0.0990587208951836,0.373,0.289,0.128495888360307,"Control","Kmt2a"
"Dctn2",1.20644399355531e-05,0.10593464721422,0.389,0.311,0.131574781937143,"Control","Dctn2"
"Dctn1",1.2215562011073e-05,0.105580457005677,0.285,0.217,0.133222919292762,"Control","Dctn1"
"Ubp1",1.29236051478976e-05,0.112760784847547,0.208,0.153,0.140944837742971,"Control","Ubp1"
"Pnpla2",1.30819455495618e-05,0.103162582315111,0.239,0.178,0.142671698163521,"Control","Pnpla2"
