Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
Cables2,,Spag6l,,Dusp8,Smtnl1,Gm128,Grn,Gpr171,Psat1,Cd74,Stk39,Lax1,,Pfdn4,Hist1h4d,Nde1,Dnase2a,Kmt2a,Tctex1d2,Dbf4
,,Tnfrsf1b,,Alas2,Ctsf,Sgms1,Hepacam2,Igf2r,Strap,Abcg3,C430048L16Rik,Sec14l1,,Mcm6,Spc24,Kif11,Entpd4,Irf9,Cluap1,Ocel1
,,Kdr,,Sema3d,Gstm1,Ckap2l,LOC100047053,1810020O05Rik,Hmgn5,Rtp4,Lphn2,4932441K18Rik,,Tiprl,Hist1h2ab,Ube2c,Enpp4,Use1,Lage3,Snrpd1
,,Inf2,,Atp1b2,Sox18,Odz4,4731417B20Rik,Hoxa9,Rabgef1,Pdzk1ip1,Chkb,Hook2,,Hacl1,E2f8,Tpx2,Enho,Dennd1c,Sqstm1,Tgfb1
,,Zcchc7,,Fcgr4,Fads3,Nuf2,Il2rb,4833424O15Rik,Vim,Gbp8,App,Ap3d1,,Gsta4,Rdbp,Cep72,Ezh1,Ykt6,Matn4,Chaf1a
,,Tmem63b,,Hist2h2ac,,BC049807,Ighv1-72,Sema3d,Plaur,Serpina3g,5730427N09Rik,Snf1lk2,,Agk,Foxm1,Cenpp,C78339,Relb,Mfng,Mcm2
,,Spry2,,Ccl8,,F7,BC060267,E330009P21Rik,Slc22a3,Smpdl3a,Loh12cr1,Vps26a,,Stk3,Cdca2,Hist1h2ah,Fam110c,Hbp1,Rab4a,Il17ra
,,B4galt2,,Adamtsl3,,Hist2h3c1,OTTMUSG00000024777,Pdcl3,Spc24,Fam134b,Mbd1,Dbi,,Tmem129,Ska1,Sdccag8,Fam134b,Tbc1d8,Ubxn6,Med25
,,Ubtfl1,,C1qb,,Klc3,Fcgr3,ENSMUSG00000057445,Nono,Tsc22d3,Vps25,Gbe1,,1810043H04Rik,Dcaf7,Ptn,Fstl1,Ebi3,Syne4,Hmgn2
,,Nt5c1b,,Chac1,,Mpp2,Txndc5,Mapkapk5,Ttc4,Ecscr,2810432L12Rik,Cdc37,,Fbxo6,Sgol2,Kif20b,Foxn3,Plag1,Fyn,Eif2b5
,,Limk2,,Fcna,,2310061C15Rik,Ltf,Sqrdl,Arpc5,Ptplad2,Mett10d,Cd38,,Cenpl,Hist2h2ac,Tbcel,Gabbr1,Cd79a,Ube2d1,Timm50
