Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,Serpina10,,Olfr414,,Hist1h4f,Olfr980,Alcam,Cox7c,,Sgpl1,1810074P20Rik,,,,,,Xbp1,Cln3,Prr11
,,Lrrc17,,2810453I06Rik,,Atp12a,Htt,Gm106,Rsl1d1,,B630019K06Rik,Cep170,,,,,,Rock2,Pak1,Rrm2
,,Mtg2,,Hbq1b,,Gfi1b,Sell,Lrrc68,Top2a,,Eftud2,Rela,,,,,,Amz2,Dkkl1,Hn1
,,Sgsm2,,Susd2,,Gm813,Ankrd23,Speer1-ps1,Zc3h15,,Mdm1,Sf3b1,,,,,,Id2,Lamtor1,Sumo2
,,Ankzf1,,AW011738,,Slc7a4,Cabp1,Arf4,Hist1h2bk,,Pip5k1c,Sirt5,,,,,,Ace,Tpp1,Nup85
,,RP23-239L21.4,,Bcl2l15,,Gprin1,Nupl1,Arhgap9,2310028O11Rik,,Pnpt1,Blmh,,,,,,Mmp28,Sash3,Galk1
,,Smarcad1,,Acta1,,Tmem141,Krtcap2,EG623849,4930579G24Rik,,Chd8,Dnmt3a,,,,,,Fam101b,Slc35a2,Fam64a
,,Ccng2,,Pklr,,Tuba8,Ghrl,Olfr114,Fam65b,,Pgs1,Lin9,,,,,,Vamp2,Rps4x,Blmh
,,Dusp1,,Carhsp1,,Frrs1,Zfp623,Sox12,G3bp1,,Polr3a,Clpb,,,,,,Map3k14,Renbp,Nme2
,,Gal3st3,,Klhl25,,Icam4,Ly6k,Prkx,Snrpa,,Atp6v1h,Ppp1r7,,,,,,Scfd1,Naa10,Lrrc59
,,Ubash3a,,Mir144,,Myom3,4932425I24Rik,Rbbp7,Romo1,,Jak2,Tgfb1,,,,,,Sptlc2,Ppapdc1b,Aurkb
,,Cep19,,Atg4a-ps,,Haus8,ENSMUSG00000076563,B4galt4,Cct2,,Ddx42,Ogdh,,,,,,Vipas39,N4bp1,Top2a
,,Pkib,,Thbs2,,ENSMUSG00000063611,Slamf7,Fmnl2,Tpm3,,Gstp1,Sap30bp,,,,,,Nova1,Smad1,Gstz1
,,Fbxw9,,Aoc2,,Hist1h4i,Snapc3,Prdm9,1110054O05Rik,,Ets2,Exoc2,,,,,,Pygl,Mt1,Vrk1
,,Abcf3,,Adamts5,,Maz,Wdr51b,Map4k4,Nudt5,,Rsbn1,Zkscan1,,,,,,ENSMUSG00000021139,Gpr56,LOC101056061
,,Phldb1,,Trak2,,Gphb5,Gatm,Insig1,Plscr1,,Mark3,2310008M10Rik,,,,,,Nrde2,Map1lc3b,Mta1
,,Umad1,,Fam117a,,Hist1h3a,Hnrnpu,Mpeg1,Cdk5rap3,,Jmjd2c,Tmem14c,,,,,,Net1,Wdr59,Coq6
,,Stx1b,,Tspan8,,Olfr992,Folr1,Slc10a7,Slc25a5,,AU021838,Man2b1,,,,,,Acot2,Vps11,Hsp90aa1
,,Zbtb8os,,Homer2,,1700065I17Rik,Cd79a,Gimap7,Hmgb2,,Slc44a1,Smad7,,,,,,Npc2,Uba7,Exoc3l4
,,Rbl2,,Mrvi1,,Hist1h1a,Cpa3,Tspyl2,AI662270,,Paqr7,C85492,,,,,,Meg3,Crebl2,2010107E04Rik
,,Rnf40,,Cldn13,,Mycs,Micall1,Tbc1d24,Sf3b5,,D17Wsu104e,Cblb,,,,,,Eci2,Mdfi,Dek
,,Ipo9,,AI427809,,Trim54,Cd97,Taf5l,Uqcr10,,Chrnb1,Ubr5,,,,,,Ly86,Bet1,Cenpp
,,Pomk,,Btnl10,,Hirip3,Dak,Fam38b2,Plek,,Hbegf,Tsg101,,,,,,Ror2,Frrs1,Sema4d
,,Arl3,,Mt2,,ENSMUSG00000002791,Prpf4,9030619P08Rik,Rgs2,,Bcl7b,Maea,,,,,,Habp4,Dph5,Sfxn1
,,Stard5,,Dapk2,,Tgm1,B230217C12Rik,Olfr350,Gmfg,,Tfdp1,Tmem87a,,,,,,Ctsl,Alg3,Pcbd2
,,Lemd3,,Gm867,,Kcnt1,Ifna7,Prss1,Serf1,,Tk2,Atp6v1b2,,,,,,Ankrd32,Cmip,2210016F16Rik
,,Zfp142,,Mfsd2b,,Epha8,I830077J02Rik,Eri3,Larp4b,,H2-D1,Shmt2,,,,,,Atg10,Gcsh,Mrpl36
,,Klhl42,,Slc25a37,,Pcgf1,A430078G23Rik,Ndufs2,Sarnp,,Fes,Taf15,,,,,,Pde8b,Ppm1h,Rad17
,,Tsacc,,Cd36,,Nol6,Pes1,Egln1,Klf13,,Ccdc69,Fxr1h,,,,,,Plk2,Ssh3,Serf1
,,Uty,,Gata1,,Uts2,Slc36a1,Tsc2,6330577E15Rik,,Slc39a10,Rbm12,,,,,,Emb,Eef2,F2rl2
,,Mef2a,,Kcnj10,,Incenp,Ak5,Bex6,Cox6b1,,4930535B03Rik,Ube2h,,,,,,Map3k1,Slc24a5,Dhfr
,,Rrm2b,,Pcdhb16,,Prc1,LOC435333,Tatdn3,Hdac2,,Fkrp,Prim2,,,,,,Il6st,Shq1,Cenpk
,,Il3ra,,Slc25a39,,Hemgn,N4bp2l2,BC019943,2700094K13Rik,,Snx3,Ttc15,,,,,,Kat6b,Grhpr,Dnajc9
,,2010111I01Rik,,Tg,,4933400A11Rik,Rasgrp1,Cnn2,Tpx2,,Ing3,Ap1g2,,,,,,Samd4,BC031181,Ppif
,,Aim2,,Dnajb2,,P2rx1,Hyou1,Ttll11,Gnai3,,Sppl3,Lims1,,,,,,Peli2,Srp72,Pbk
,,Tsc1,,Fgd6,,Zfp318,2310004I24Rik,Pdcd2,Dnajc2,,Rbm34,Smap1,,,,,,Pnp,Phpt1,Clu
,,AY074887,,Kel,,Fmc1,0610010E21Rik,Nme4,Pde4b,,Tceal1,Ldha,,,,,,Sh3bp5,Acaa2,Rhobtb2
,,Rpap3-ps2,,Mrc1,,P2ry1,Cd48,Prex2,Txn1,,F730014I05Rik,Cxxc1,,,,,,Btd,Pml,Lrp10
,,P3h1,,Ccr3,,9530015I07Rik,Cnot6l,Ube2q1,Cenpf,,Adss,OTTMUSG00000010105,,,,,,Ctsb,Chst7,Haus4
,,Rcn2,,Ermap,,Hinfp,Mre11a,Dnaja2,Dpy30,,Lrrc8c,Tpx2,,,,,,Spata13,Sf3b6,Oxct1
,,Slc25a13,,Gm12839,,Afap1l2,1700108M19Rik,Apol7e,Sep-11,,Lemd3,Phospho2,,,,,,Tsc22d1,Hhat,Shcbp1
,,Itpk1,,Smox,,V1rf3,Zfp11,Pi4k2b,Ccnb2,,Suclg1,1200013B08Rik,,,,,,Bin3,Icam1,Pop1
,,Zfp219,,Mar-08,,OTTMUSG00000024895,Ankzf1,Lpar1,Rap1b,,9030418K01Rik,2310036O22Rik,,,,,,Nipbl,H2-DMa,Atad2
,,Abhd8,,Mpp1,,Angptl7,Hivep2,Theg,1190002H23Rik,,Mtbp,Mll3,,,,,,Dcaf11,Eef1a1,Gtse1
,,Tes3-ps,,Pkd1l3,,Gm101,C1qtnf2,Paf1,Kif11,,Prdm4,Rnf38,,,,,,Zscan26,Rpl10a,Rangap1
,,Snap29,,Kcnn1,,OTTMUSG00000006556,Syngr2,Pcca,Arf6,,Rtn3,Cnih4,,,,,,Rrm2b,Txnip,Bop1
,,Ccdc163,,Popdc2,,Fbxw19,4930412M03Rik,Adh5,Pds5a,,Lsm14a,Clip1,,,,,,Xpnpep3,Ppp1r9b,Shank3
,,Emid1,,Rhd,,2410002O22Rik,Mapre2,Sccpdh,Gata2,,Polr2a,Rab27b,,,,,,Vdr,Tlr4,Kif21a
,,Irf2,,Fhdc1,,Smoc2,LOC435333  // LOC435333  // LOC435333  // LOC435333  // LOC435333  // LOC435333,Tmem208,Iqgap2,,D630004A14Rik,Abhd10,,,,,,1810013L24Rik,Prune2,Nde1
,,Zfp763,,1300017J02Rik,,Fgf12,Tc2n,8430406I07Rik,Pmf1,,Numa1,Fmnl3,,,,,,Zfp251,Ciz1,Naa50
,,Pomgnt1,,Asb17,,ENSMUSG00000074517,Igk  // Igk,Ambp,Slbp,,Ndufs4,Ctse,,,,,,Mroh1,Rpl22l1,Klhl22
,,Trit1,,Kcnj5,,ENSMUSG00000072677,Fto,Oxsm,Ifrd2,,Ankrd17,Stat5b,,,,,,Arc,Slc26a11,Sdf2l1
,,Helq,,Gm15915,,Cbln1,Syk,Aldh1b1,Tmsb10,,Ulk1,Slmap,,,,,,Mapk12,Fam60a,Rfc4
,,Smad1,,2600006K01Rik,,Stab1,Dennd3,Tcfap2a,Apex1,,Bmp1,Ankib1,,,,,,Alcam,Gstm2,Atp5j
,,Nkrf,,Thsd7b,,Ppp1r13l,Gbp4,Katnal1,Pfkl,,Ddx6,Cct7,,,,,,Cd200r1,Mill2,Rcan1
,,Pank3,,Pkd1l2,,OTTMUSG00000015762,Ascc2,Ap1s2,Fam64a,,Cd72,4933411K20Rik,,,,,,Boc,Tox,Mis18a
,,Mgmt,,Hemgn,,Mett5d1,Olfr860,Wdr6,Nop56,,Palb2,Ndufs8,,,,,,Zbtb20,Cdk13,Scaf4
,,Nicn1,,Clnk,,Gp5,Bmp2,Lax1,2900073G15Rik,,Gna-rs1,Cbx4,,,,,,Fgd4,Meis3,Tuba1b
,,Sec61a2,,Ranbp10,,Tas2r119,F2rl2,Maf1,Hist1h2ae,,Adssl1,Pprc1,,,,,,Senp2,Abhd14a,Racgap1
,,Pomt2,,Vopp1,,Syngr4,Nf1,Magee1,Hist1h2an,,Hk2,Cox7a2,,,,,,Brwd1,Hsd3b7,Rfc2
,,Ttbk2,,Gm16072,,Pgc,Tor1b,Lsp1,Wdhd1,,Cadps2,Mrpl9,,,,,,Itsn1,AA986860,Prmt5
,,Armcx2,,Epb4.9,,Nanos1,Eif1a,Thrb,Nrm,,Rhot2,Casp8ap2,,,,,,Lima1,Exoc3l,Sympk
,,Cep97,,Pmaip1,,ENSMUSG00000057802,Il7r,G3bp2,H2afy,,Mpg,D10Wsu102e,,,,,,Csad,Hscb,Frs3
,,Tnks,,Yod1,,Hey2,Igk,100041306,Nr4a2,,Ankrd49,Psap,,,,,,Prr13,Rpl7,Cdca3
,,Tmem161b,,C4b,,EG666730,Setbp1,1110028C15Rik,Gnl2,,Mrpl50,Ubap2,,,,,,Gzma,Chil5,Slc22a3
,,Prpf39,,Nt5c3,,4833418N17Rik,Stk40,Ly9,Eif2s2,,Pdzk1ip1,Aig1,,,,,,Tmem176a,Ccrl2,Pkmyt1
,,Ift57,,Mar-03,,Ppat,Tcrg-V3,Bcs1l,Asf1b,,Ube1dc1,Ict1,,,,,,Agpat4,Osbpl1a,Cdc5l
,,Stk3,,Ubac1,,Asphd1,Prlr,Enkur,Mef2c,,Tnip1,Ppp1ca,,,,,,Igf2r,Dsg2,Sgol1
,,Zfp275,,Snx22,,Cd300lg,Chst1,Mettl7a1,Mcm7,,S100a1,Runx3,,,,,,Satb1,Ptgs1,Ppil1
,,Ccnj,,Txnrd2,,Bsnd,Cd74,Defb43,Hmgn2,,Zfp180,Cirbp,,,,,,Taf8,Zfp30,Wdr4
,,Noc3l,,Gm12168,,Gclm,Csf2,Dnajb6,Mrpl54,,Uqcrfs1,Rassf5,,,,,,Cyp4f13,Bex4,Myom1
,,BC035044,,Tspo2,,Tgfbr3,Butr1,Rnf214,Ncapg,,Smad2,Ralgds,,,,,,Xdh,Myof,Ndc80
,,Nfam1,,Mylk3,,EG636070  // EG636070,BC049730,Lgi3,Syce2,,Tpcn1,Thex1,,,,,,Birc6,Foxo3,Ndufv2
,,Atp10d,,Ms4a6d,,Trim38,Pls1,Slc39a11,Mki67,,Aebp2,Acin1,,,,,,Hnrnpll,Bmyc,1600002H07Rik
,,AI987944,,Fabp4,,Prmt7,Asgr1,Dmp1,Tuba3a,,Mthfs,Emid1,,,,,,Dusp1,Tceal1,Cuta
,,2810025M15Rik,,E130309D14Rik,,Gadd45g,Ido1,Olfr297,Nkg7,,Tmem80,Smc4,,,,,,Plin3,Fhl4,Fkbp5
,,Spty2d1,,A730036I17Rik,,Tll1,Ctss,Acy3,Zfp367,,Fer1l3,Rpl23,,,,,,Zeb1,Gpr171,Slc39a6
,,Smad6,,Cma1,,Fam131c,Sbno1,Fnbp4,Dnttip2,,Zkscan14,Mrps9,,,,,,Cox7a2l,Rps19bp1,Kifc5b
,,Mapk8,,Ubd,,4932441B19Rik,Rlim,P2ry14,Add3,,1700012H17Rik,2410018G20Rik,,,,,,Myo1f,Pusl1,Slc39a7
,,Simc1,,Cachd1,,Wnt6,Ly6e,H2-Ob,Mrpl42,,Foxj3,Zcchc3,,,,,,Tmem173,Coa6,Bag6
,,Ptpn4,,Rab30,,Nags,Pik3c3,Fbxo21,E130306D19Rik,,Cetn3,Mki67ip,,,,,,Mzb1,Arf3,Gnl1
,,Ticam2,,Gm6982,,Trim17,Rexo2,Hbb-bh1,Imp4,,Gimap5,Sfrs4,,,,,,Ltb,Cpne8,Tcerg1
,,Arhgap27,,2010011I20Rik,,Olfr1475,Glis2,Aldh1l1,Coq10b,,Hdac9,Cct2,,,,,,Impact,Asap2,Rab27b
,,Tnfrsf10b,,Pf4,,Ferd3l,Icos,Tnip3,Prim1,,Aurkaip1,Rnf144b,,,,,,Csf1r,Oas1a,Csnk1a1
,,Maoa,,Olfr417,,Tardbp,Cry1,Prkcd,Snrpb,,D5Ertd40e,Mthfd1l,,,,,,Anxa1,Cyp2j6,Tcof1
,,Cyb5d2,,Cfh,,Diap1,ENSMUSG00000073728,Dock2,Spcs3,,Txnrd1,Abcb8,,,,,,Rab3il1,Aldh1a1,Psat1
,,Slc26a9,,Gm14490,,Lipi,Blnk,Sesn1,Nrgn,,Rmnd5a,Cisd2,,,,,,Ms4a6b,Gas5,Incenp
,,Ocstamp,,Pnpo,,Rnf207,Tcl1b3,Xlr3c,Qars,,6430510M02Rik,Rbm7,,,,,,Ms4a4d,Aldh7a1,Fam111a
,,Epm2a,,Tbcel,,Scap,Spag9,Usp11,Csda,,Ndor1,3110002H16Rik,,,,,,Ms4a3,Mgmt,Trpm6
,,Lrrc8b,,Cacna1c,,Tdrkh,Thumpd2,Ckt2,Lrrc58,,Lhfpl2,Rtel1,,,,,,Lpxn,9130008F23Rik,Ccdc86
,,Lrrc74b,,Dhrs11,,Slc26a5,11-Sep,Rpl19,Lyar,,2310007H09Rik,Ocrl,,,,,,Lipo1,Ubl7,Naa40
,,Zfp946,,Tmem56,,Pcnxl2,Ticam1,Tspan2,Ncapd2,,Rgs14,Slc38a2,,,,,,Otub1,Actr3b,Sac3d1
,,Znf512b,,Tex14,,Robld3,Acot5,Fbxw4,Ptp4a1,,Gm962,Arid1b,,,,,,Chka,Chn1,Kif20b
,,Ecm2,,Fam3b,,Sdcbp2,06-Sep,Bcl6,Ppp1cc,,Tsc22d4,Uqcrb,,,,,,Asah2,Npm1,Sf1
,,Trim14,,Cpox,,Ceacam20,Cacna1h,Nr0b1,Ptpn7,,Arcn1,Uap1l1,,,,,,Map4k2,Zfp746,Plcb3
,,Rnls,,Spnb1,,Olfr417,Tmsb4x,Sestd1,Hist1h2ai,,Atxn3,Clta,,,,,,Ccnj,Ankrd29,Fermt3
,,Extl2,,Mir451,,Wfdc3,Gpm6b,Tceal6,Pycrl,,Cenpb,Pgk1,,,,,,Efhc2,Mab21l2,Smc3
,,Ipp,,Soat2,,Olfr633,Gm1419,Procr,Cd93,,Ier3,Bzw2,,,,,,Ablim1,Mdn1,Pdcd4
,,Shmt1,,Ddit3,,Fbrs,Pole3,Tspyl1,Prc1,,Olfr632,Cbx2,,,,,,Cd7,Rpl23a,Acsl5
,,Armcx5,,Stom,,Dynll2,Rrp1b,Ctsa,AI848100,,Tmem161b,Nup54,,,,,,Fn3k,Tmed9,Hells
,,Arap2,,Ces2g,,Atpbd3,Elp2,Xlr3b,Cetn2,,Zeb2,Nt5c3l,,,,,,Kazald1,ENSMUSG00000058603,Xpnpep1
,,Tgfbr3l,,Ghitm,,Hist1h3g,Zp4,ENSMUSG00000055181,Ndc80,,Pik3cb,Gltp,,,,,,Fyco1,Tmem40,Pdcd11
,,Zfp90,,Grina,,Rabepk,Fbxo2,Arl8b,Bap1,,Fcmd,Wipf2,,,,,,Sat1,Pla2g16,Fasn
,,Icam1,,1700006J14Rik,,Rltpr,Irf4,BC055004,Mcm6,,Igf2bp2,Cyc1,,,,,,Adam8,Cd302,Arhgap19
,,Fpgt,,Atg4a,,4930556L07Rik,Rtn3,Olfr1423,Tk1,,Iws1,Treml2,,,,,,Ifitm1,B2m,Zdhhc16
,,B4galt5,,Magee2,,Polr2e,Kcnh1,Limk1,Rc3h1,,Zdhhc9,Pddc1,,,,,,Irf7,Nol10,Chuk
,,Enthd2,,Samd11,,Abcb11,BC057170,Fam48a,Cox5a,,Taf5,0610009O03Rik,,,,,,Eps8l2,Obscn,Ormdl2
,,Adprm,,Ypel4,,Spef1,Dusp11,Il15ra,Golt1b,,Gtf3c3,Cxcl4,,,,,,Tmem192,Rps7,Pa2g4
,,Pigu,,Rbm44,,Eps8l3,Rnf38,Olfr574,Utp11l,,Ccdc115,Dtd1,,,,,,Cant1,Iah1,Atp5b
,,Zfp770,,Fam55b,,Nlrp2,08-Mar,Rab40c,Smc2,,Scfd2,Atp6v0b,,,,,,Mkln1,Tnfaip8,Prim1
,,Cep104,,B3gnt7,,Rbm42,Slc11a2,Efcab4b,Med8,,Zfand6,Mrpl24,,,,,,Shisa5,Impdh2,Shmt2
,,Spata6,,Kif22-ps,,Nrarp,Huwe1,H3f3a,Calm3,,Efna1,Cnnm3,,,,,,Ccr1,1190007I07Rik,Psmd13
,,Lpar6,,0610040J01Rik,,Klk15,Gpr116,Defb41,Hsp90aa1,,Col4a1,AI451617,,,,,,Nrp1,Hspbp1,Tk1
,,Acox2,,Pla2g7,,Ceacam13,Ptprc,Prpf6,Arid1a,,AU020772,Tnfaip3,,,,,,Hk3,Cpped1,Cct8
,,Zbed3,,Samd14,,Olfr1513,Dync1li2,Drg1,Klf10,,Tinagl,D4Wsu53e,,,,,,Kbtbd3,Pomgnt2,Tyms
,,Six5,,Blvrb,,Ube2c,Tyrobp,Mtss1,Ddx39,,Tmc3,Sgms1,,,,,,Idh1,Gm13139,Plk4
,,Usp28,,Esco2,,Yaf2,V1rh4,Crispld1,Nucks1,,BC063749,Fbxo5,,,,,,Ikzf2,Tmem167b,Slc25a10
,,Mxra7,,Lmna,,Aff2,Sh2b1,Rnpep,Cbx1,,Nxnl2,,,,,,,Raph1,Psma5,Nudt5
,,1700112E06Rik,,Rundc3a,,Slc14a1,Arhgap15,Obfc1,Pfn1,,Tbc1d17,,,,,,,Inpp4a,Selenbp1,Iscu
,,Coq3,,Ypel5,,Itih1,Klhl1,Apol7b,Gtl3,,BC022623,,,,,,,Smap1,Rpl12,Get4
,,Plekhg5,,Fer1l6,,Tcfap2e,2310079G19Rik,Ms4a6d,Cox8a,,Cc2d1b,,,,,,,Sp100,Eef1g,Thoc3
,,Cldn34c1,,Derl3,,Sult1a1,Tfb1m,Arl6ip4,Zrsr2,,Maml3,,,,,,,Gpr35,Apol7e,Hspd1
,,Glis2,,Plk4,,Nbl1,Spcs3,Agps,Hadhb,,Papd4,,,,,,,Scly,Tmsb15l,Nop58
,,Btbd7,,Sycp2,,H2afz,Olfr640,Satb1,Akr1b3,,Cpeb4,,,,,,,2310035C23Rik,Gprasp2,Orc2
,,Dntt,,Gm5544,,A2bp1,Rarg,Zfp295,Cdk2ap1,,Gm50,,,,,,,Pam,Osgin1,Sgol2
,,Per1,,Car1,,Adamts7,Slc5a4b,Zfp85-rs1,Ssr4,,Pcgf2,,,,,,,Ccnt2,ENSMUSG00000074873,Prim2
,,Ankrd13d,,Dyrk3,,Bbs1,Isg20,Sunc1,Lgals9,,Ripk2,,,,,,,Ptprc,Qser1,Ncl
,,Abhd12,,Ffar2,,EG623166,Nfatc3,Vps26b,Anp32e,,Slc25a12,,,,,,,Pfkfb2,Zfp408,Ptma
,,Idua,,Cda,,Fam179a,Stx3,Hdac9,Runx3,,Psmb10,,,,,,,Elk4,ENSMUSG00000076612,Dtymk
,,Plekha1,,Ube2c,,Npas1,EG333669,Rnf149,Itga2b,,Pno1,,,,,,,Ppfia4,ENSMUSG00000078117,Ilkap
,,Ccdc69,,Sdf2l1,,Hoxb2,Fgf2,Rnf130,Ngdn,,Sfrs12,,,,,,,Ncf2,Smim24,Mcm6
,,Dimt1,,Darc,,Ocel1,Aldh1l2,LOC665703,Ranbp1,,Cabc1,,,,,,,Rgl1,Nat6,Ube2t
,,BC021785,,Epdr1,,9330158H04Rik,Hoxd13,Cd34,Rrm1,,Lrrc8d,,,,,,,Pou2f1,Pglyrp2,Nucks1
,,Mtrf1l,,Gm9791,,Ccdc127,4922502D21Rik,Gem,Ak2,,Pde2a,,,,,,,Mpzl1,Slc48a1,Fh1
,,Dnmt3b,,Sphk1,,Fbxo39,Cyp11b1,Atp1a3,Psmd11,,Tmem111,,,,,,,Atp1b1,LOC171588,Uck2
,,Zbtb8a,,Camsap2,,Cdkn3,Ergic1,Tnni2,Rnaseh2c,,Derl1,,,,,,,Blzf1,ENSMUSG00000084085,Selp
,,Klhl2,,Sowaha,,Olfr116,Steap4,Cnp,Prdx4,,Mpp5,,,,,,,Sell,ENSMUSG00000084416,Cenpf
,,9030619P08Rik,,Mkrn1-ps1,,Mc1r,Cdh2,Gng10,Cct6a,,Mfsd11,,,,,,,Ralgps2,ENSMUSG00000085890,Nek2
,,RP23-447N11.3,,Mgp,,Esx1,Ttll8,Arih1,Rfc4,,Ank,,,,,,,Soat1,ENSMUSG00000086179,Mcm10
,,Tmem191c,,Ube2h,,Myo15,Plac1l,Mmaa,F2r,,Slc30a9,,,,,,,Ptpn14,ENSMUSG00000086583,Nuf2
,,Dlgap4,,Slc7a5,,1110006O24Rik,Dppa5a,Zfp106,Cdk1,,Scyl2,,,,,,,Mar-01,4930481A15Rik,Cenpl
,,Fndc3a,,Acmsd,,Melk,Trmt5,Fam114a1,Tuba1b,,Mnt,,,,,,,Lpgat1,ENSMUSG00000089726,Psmb7
,,Nfil3,,AC073561.5,,Pgp,R3hdm1,Tanc2,Ahcy,,Bxdc5,,,,,,,Fam107b,1110038B12Rik,Slc2a8
,,Sema4c,,Trim58,,A730045E13Rik,Krt80,Nsfl1c,0610007L01Rik,,Degs1,,,,,,,Phyh,ENSMUSG00000095597,Sh3glb2
,,Slc2a1,,Azin1,,Klhl8,Selm,EG209380,Dnmt1,,Leprel2,,,,,,,Vamp4,,Ndufa8
,,Slc39a14,,Hagh,,Dcdc2a,Tmtc3,Emp1,Uhrf1,,Hs1bp3,,,,,,,Plxdc2,,Wdr5
,,H2-DMb1,,Siglec1,,Kctd13,Ccdc125,Pfkfb1,Sfxn1,,Zfp106,,,,,,,Ppp6c,,Brd3
,,Scnm1,,Slc38a5,,OTTMUSG00000010432,Ms4a6c,Bco2,Cd34,,Mbtps2,,,,,,,Acbd5,,Abca2
,,Rnf13,,B230317F23Rik,,A430057M04Rik,Pabpc1,Srl,Paics,,Hist1h1c,,,,,,,Dpm2,,Hat1
,,Med26,,2510003D18Rik,,Hist1h3f,Tgtp,Crybg3,Umps,,Dapk3,,,,,,,Lcn2,,Slc43a3
,,Aamdc,,RP23-440J15.7,,1110001A07Rik,Ets1,Slc39a7,Erh,,Agtrap,,,,,,,Cytip,,Ccdc34
,,Calhm2,,AC153851.2,,Fam54a,2410022L05Rik,4930432K09Rik,2210013O21Rik,,Mphosph10,,,,,,,Traf1,,Dut
,,Uevld,,Sh2d1b1,,E130306D19Rik,Nlgn2,Defa5  // Defa5  // Defa5,Myg1,,Mcee,,,,,,,Stom,,Rtf1
,,Paqr3,,Hbq1a,,0610025J13Rik,Dbil5,Gm884,Neil3,,Prkaca,,,,,,,Rbm18,,Nusap1
,,Rpp40,,Gm6377,,1110020G09Rik,Mrps2,Mbtps1,Vapa,,Tbc1d20,,,,,,,Strbp,,Rad51
,,Ttc30a1,,Olfr420,,Tbr1,Naip5,Zc3h7b,Nr4a1,,Vapb,,,,,,,Notch1,,Casc5
,,Plscr4,,Aars,,EG622645,Ppp2r2a,Map3k8,Mat2a,,,,,,,,,Card9,,Cdc25b
,,Plcxd2,,Gm10717,,EG665772,Tmem134,1810011O10Rik,Tdp1,,,,,,,,,Nacc2,,Knstrn
,,Nsun6,,Rab3il1,,B4galt7,Eaf2,Ddhd1,Ssr1,,,,,,,,,Baz2b,,Pcna
,,Dhdh,,Slc16a10,,Hnrnpa0,Nrp2,Tspan6,Mdh2,,,,,,,,,Smtnl1,,Bub1
,,3110001I22Rik,,Sgol1,,Htr3a,,,Hist1h2ah,,,,,,,,,Cd82,,Nop56
,,Magi2,,Trib3,,Litaf,,,Hist1h2ab,,,,,,,,,Slc28a2,,Gins1
,,Rbm18,,AC242409.1,,G730046D07Rik,,,Gnb2l1,,,,,,,,,Mdk,,Rbck1
,,Tmem198b,,Stradb,,EG383032  // EG383032,,,Pdcd5,,,,,,,,,Lrp4,,Tpx2
,,Zfp287,,Itga2b,,Slc2a4,,,Fxn,,,,,,,,,Jag1,,Rae1
,,Tcf7l1,,Gm11485,,Mepe,,,Dbf4,,,,,,,,,Vps39,,Fabp5
,,Sbk1,,Urod,,Hist2h2bb,,,Ppat,,,,,,,,,4930402H24Rik,,Rbl1
,,Lif,,Gm10718,,Atg9a,,,Mbnl3,,,,,,,,,Ivd,,Fam83d
,,Clock,,Gm15800,,EG233075,,,Fosb,,,,,,,,,Hdc,,Ect2
,,Ccdc60,,Tuba8,,620946,,,Gins2,,,,,,,,,Tbc1d20,,Ccna2
,,Trps1,,Usp45,,Tecpr2,,,Prdx1,,,,,,,,,Procr,,P2ry1
,,RP23-59B8.2,,Gm15345,,Syt7,,,Set,,,,,,,,,Tbl1xr1,,Il12a
,,Dock1,,Ncapg,,1700104A03Rik,,,St13,,,,,,,,,Samhd1,,Ppa2
,,Zfp945,,Htatip2,,Trim29,,,Cse1l,,,,,,,,,Mecom,,Cks1b
,,Letm2,,Creg1,,Cno,,,Gtpbp4,,,,,,,,,Nceh1,,Pmf1
,,Aldh6a1,,Mkrn1,,Epn2,,,Ubap2l,,,,,,,,,Nbea,,Eif4e
,,Eepd1,,Abcg4,,Ttk,,,Pgm1,,,,,,,,,Cd2,,Depdc1a
,,Atg14,,Tmem86b,,Abcc12,,,H2afx,,,,,,,,,Notch2,,Smc2
,,Vav3,,Hpdl,,Kif20b,,,Spc25,,,,,,,,,Efna1,,Exosc3
,,Hif1a,,Narf,,Gng7,,,Taok3,,,,,,,,,Sfrp2,,Ncbp1
,,Zfp354a,,Hist1h1b,,Mybph,,,1700029F09Rik,,,,,,,,,Gba,,Anp32b
,,Tfpi,,Slc24a1,,Fkrp,,,Hmmr,,,,,,,,,Rit1,,Coro2a
,,Tbc1d4,,Pir,,Pcx,,,Mif4gd,,,,,,,,,Lmna,,Txn1
,,1700025G04Rik,,Oas1e,,Kprp,,,Impdh2,,,,,,,,,Sema4a,,Dnajc6
,,Epha7,,4930547N16Rik,,Papln,,,Fam195b,,,,,,,,,Sh2d2a,,Orc1
,,RP23-60D3.3,,E2f8,,Rplp1  // Rplp1  // Rplp1,,,Btg2,,,,,,,,,Cd1d1,,Ndc1
,,P3h2,,Slc25a21,,Kcnq4,,,Mapk1ip1l,,,,,,,,,Trp53inp1,,Ctps
,,Zfp790,,Uros,,B630019K06Rik,,,Cdkn3,,,,,,,,,Mmp16,,Ybx1
